Amount ($),Merchant Code,Merchant Category,Default Brand,Default Brand Description,Coalesced Brand,Coalesced Brand Description,Location,Category
11.21,nan,nan,braham napa,"['auto parts store in braham, minnesota']",napa auto parts,"['auto parts store in braham, minnesota']",braham mn,Retail Trade
6.43,5311.0,department stores,bealls outlet store #,"['outlet store in sun city west, arizona']",bealls outlet,"['outlet store in sun city west, arizona']",sun city west az,Retail Trade
52.99,5542.0,automated fuel dispensers,dry ridge bp,['gas station'],bp,['gas station'],dry ridge ky,Services to Transport
13.4,5261.0,garden and lawn supply stores or nurseries,outpost feed & ranch s,['animal feed store'],outpost feed and ranch supply,['animal feed store'],florissant co,Retail Trade
8.0,nan,nan,cross bayou car wa,"['shopping mall · st nclosed ⋅ opens sun', 'near cross bayou, pinellas park, fl', 'elementary school · ave n', 'window tinting service · n pk blvdclosed ⋅ opens fri']",mt. washmore,"['view all', 'car wash in pinellas park, florida']",pinellas park fl,Services to Transport
18.33,nan,nan,carsons wine and l,['wine store'],carsons wine and liquor,['wine store'],fountain co,Retail Trade
53.56,5099.0,durable goods (nec),l n curtis & sons,"['fire department equipment supplier in phoenix, arizona']",l.n. curtis and sons,"['fire department equipment supplier in phoenix, arizona']",phoenix az,Retail Trade
7.82,nan,nan,nakumatt westgate,"['shopping mall · mwanzi rdclosed ⋅ opens', 'store · mwanzi road, west gate shoppingclosed ⋅ opens', 'department store · mwanzi roadclosed ⋅ opens', 'near nakumatt westgate, nairobi, kenya']",nakumatt westgate,"['shopping mall · mwanzi rdclosed ⋅ opens', 'store · mwanzi road, west gate shoppingclosed ⋅ opens', 'department store · mwanzi roadclosed ⋅ opens', 'near nakumatt westgate, nairobi, kenya']",nairobi ke,Retail Trade
14.54,742.0,veterinary services,miami county veterinar,"['veterinarian in miami county, indiana']",miami county veterinary clinic,"['veterinarian in miami county, indiana']",peru in,Health and Community Services
9.77,nan,nan,leftys main street,['restaurant'],leftys,['restaurant'],blacksburg va,Retail Trade
7.05,5812.0,restaurants or eating places,mvh nutritional svcs,"['hospital in dayton, ohio']",miami valley hospital,"['view all', 'hospital in dayton, ohio', 'hospital in centerville, ohio']",dayton oh,Health and Community Services
332.0,8999.0,professional services (nec),stargate west apartmen,"['apartment complex in tucson, arizona']",stargate west apartments,"['apartment complex in tucson, arizona']",az,"Trade, Professional and Personal Services"
7.17,nan,nan,jccc dining servic,[],johnson county community college,"['community college in overland park, kansas']",overland park ks,"Trade, Professional and Personal Services"
527.38,5571.0,motorcycle dealers,demello off road,"['auto restoration service in home gardens, california']",demello offroad,"['auto restoration service in home gardens, california']",ca,Retail Trade
6.99,5251.0,hardware stores,chs,['propane supplier'],chs,['propane supplier'],kalispell mt,Services to Transport
23.3,5651.0,family clothing stores,trendy clothing store,"['western apparel store · w main stclosed ⋅ opens fri', 'near emmett, id', 'thrift store · e main stclosed ⋅ opens fri', 'jeweler · w dion stclosed ⋅ opens fri']",trendy,"['view all', '· $$mexican restaurant · emmett, idclosed ⋅ opens fri', 'near morrow county, or', 'gift shop · emmett, idclosed ⋅ opens fri', 'baby clothing store · caldwell, idclosed ⋅ opens fri']",emmett id,Retail Trade
15.0,nan,nan,dream provider car,[],dream provider care services,"['rehabilitation center · highland dr', 'mental health serviceclosed ⋅ opens fri', 'near dream provider care services, highland dr, washington, nc']",washington nc,Health and Community Services
35.0,nan,nan,mitrev eye center,"['ophthalmologist in chesapeake, virginia']",mitrev eye center,"['ophthalmologist in chesapeake, virginia']",chesapeake va,Health and Community Services
10.0,nan,nan,dat pho restaurant,['vietnamese restaurant'],datpho,['vietnamese restaurant'],spring tx,Entertainment
16.0,8011.0,doctors or physicians,rx mfm wellington,[],rx mfm wellington,[],wellington co,Health and Community Services
387.0,nan,nan,bartoo martin dds,"['dentist in asheville, north carolina']",dr. bartoo e. martin dds,"['dentist in asheville, north carolina']",asheville nc,Health and Community Services
3.5,5812.0,restaurants or eating places,culinart @nyu law,[],culinart,"['near culinart, w st, new york, ny', 'caterer · w sttemporarily closed', 'culinary school · irving pl']",new york ny,Entertainment
10.32,nan,nan,pietros italian re,['italian restaurant'],pietros pizza and italian,['italian restaurant'],chester va,Entertainment
75.0,nan,nan,westhaven dentistr,"['dental clinic in franklin, tennessee']",westhaven dentistry,"['dental clinic in franklin, tennessee']",franklin tn,Health and Community Services
139.57,5812.0,restaurants or eating places,basilico,['italian restaurant'],basilico,['italian restaurant'],olympia wa,Entertainment
175.0,nan,nan,pyl*covey apartmen,['view all'],covey apartments,"['apartment complex · salt lake city, utclosed ⋅ opens fri', 'townhouse complex · forest grove, orclosed ⋅ opens fri', 'near morrow county, or', 'business management consultant · salt lake city, utclosed ⋅ opens fri']",ut,"Trade, Professional and Personal Services"
9.03,nan,nan,eric weinstein dpm,"['podiatrist in weston, florida']",eric weinstein dpm,"['podiatrist in weston, florida']",weston fl,Health and Community Services
25.0,7399.0,business services (nec),goed   ptac conference,[],goed   ptac conference,[],salt lake cit ut,Property and Business Services
133.56,5698.0,wig and toupee stores,foxi hair,"['hair replacement service in midvale, utah']",foxi hair,"['hair replacement service in midvale, utah']",midvale ut,Retail Trade
58.98,5812.0,restaurants or eating places,viva italiano,['pizza restaurant'],viva italiano pizzeria,['pizza restaurant'],pacifica ca,Entertainment
8.61,nan,nan,planet k north,"['research blvdopen ⋅ closes', 'research boulevard cox plazaopen ⋅ closes', 'near north austin, austin, tx', 'n interstate hwy ⋅ closes']",planet k texas,"['e cesar chavez stopen ⋅ closes', 'parking lot, s lamar blvdopen ⋅ closes', 'near austin, tx', 'n interstate hwy ⋅ closes']",austin tx,Retail Trade
14.33,nan,nan,mojo on mill,['frozen yogurt shop'],mojo yogurt,['frozen yogurt shop'],tempe az,Retail Trade
19.81,5812.0,restaurants or eating places,satay  go,['southeast asian restaurant'],satay 2 go,['southeast asian restaurant'],apple valley mn,Entertainment
175.0,7999.0,amusement/recreational services not elsewhere classified,fence busters llc,[],affordable gate company,"['manufacturer in pinal county, arizona']",mesa az,Entertainment
41.85,8999.0,professional services (nec),auctions for income,[],auctions for income,[],ca,"Trade, Professional and Personal Services"
12.21,nan,nan,"dalco enterprises,","['janitorial equipment supplier in new brighton, minnesota']",dalco enterprises,"['janitorial equipment supplier in new brighton, minnesota']",mn,"Trade, Professional and Personal Services"
97.22,5199.0,non-durable goods (nec),rogers fireworks,[],pyro city fireworks,"['fireworks store in berkley, colorado']",denver co,Retail Trade
16.83,5812.0,restaurants or eating places,rest california leon,"['hotel in tijuana, mexico']",rest california leon,"['hotel in tijuana, mexico']",leon de los a mx,Entertainment
6.94,1711.0,a/c heating or plumbing contractors - sales & installation,snipps heat & air,"['hvac contractor in montrose, colorado']",snipps heating and air conditioning,"['hvac contractor in montrose, colorado']",montrose co,"Trade, Professional and Personal Services"
170.11,nan,nan,"kst enterprises, l","['manufacturer in bremen, georgia']",kst enterprises,"['manufacturer in bremen, georgia']",ga,"Trade, Professional and Personal Services"
181.93,8043.0,opticians,augenoptik waurick,['view all'],garmisch usa resort,['resort hotel'],garmisch part df,Travel
52.7,5964.0,catalog merchant,supliments to go,[],supplements to go,[],az,Retail Trade
4.59,5999.0,miscellaneous & specialty stores,applause video,"['video game store in hastings, nebraska']",applause video,"['video game store in hastings, nebraska']",hastings ne,Retail Trade
43.68,5812.0,restaurants or eating places,bear necessities,['coffee shop'],bear necessities,['coffee shop'],post falls id,"Trade, Professional and Personal Services"
23.05,5812.0,restaurants or eating places,kravingz cafe & bakery,['caterer'],kravingz cafe,['caterer'],bigfork mt,Entertainment
18.49,nan,nan,bernies bagels,['deli'],bernies bagels,['deli'],coral springs fl,Retail Trade
10.82,5733.0,music stores musical instruments pianos sheet music,amend music center,"['n regal stclosed ⋅ opens fri', 'near spokane, wa', 'w aveclosed ⋅ opens fri']",amend music center,"['n regal stclosed ⋅ opens fri', 'near spokane, wa', 'w aveclosed ⋅ opens fri']",spokane wa,Retail Trade
25.96,5814.0,fast food restaurants,duck's cottage llc,['coffee shop'],ducks cottage,['coffee shop'],duck  rd nc,Entertainment
8.61,nan,nan,el rey de pllo,['mexican restaurant'],restaurant pollo el rey,['mexican restaurant'],san marcos tx,Entertainment
20.0,5541.0,gas/service stations with/without ancillary services,ta # effingham,['truck stop'],ta # effingham,['truck stop'],effingham il,Services to Transport
3.53,5812.0,restaurants or eating places,dion's #,"['towne center lnclosed ⋅ opens fri', 'montgomery blvd neclosed ⋅ opens fri', 'near albuquerque, nm', 'central ave seclosed ⋅ opens fri']",dions,"['towne center lnclosed ⋅ opens fri', 'montgomery blvd neclosed ⋅ opens fri', 'near albuquerque, nm', 'central ave seclosed ⋅ opens fri']",albuquerque nm,Retail Trade
30.0,7230.0,barber or beauty shops,notorious salon,"['barber shop in the fullerton, pennsylvania']",alma castillo,[],tucson az,"Trade, Professional and Personal Services"
35.64,5999.0,miscellaneous & specialty stores,the soap garden,"['view all', 'garden center in seneca county, new york']",the soapbox,"['view all', 'drug store in seneca county, new york']",waterloo ny,"Trade, Professional and Personal Services"
12.0,7542.0,car washes,manawa centre wash,"['car wash in council bluffs, iowa']",lake manawa centre wash and gas,"['car wash in council bluffs, iowa']",council bluff ia,Services to Transport
21.0,7299.0,misc personal services not elsewhere classified,sq *hal kocher,[],sq *hal kocher,[],littleton co,"Trade, Professional and Personal Services"
93.96,5947.0,card gift novelty or souvenir shops,coynes incorporated,[],coynes incorporated,[],mn,Retail Trade
35.54,nan,nan,tse jennysmarket,['convenience store'],jennys market,"['near denver, co', 'gas federal blvdopen hours', 'convenience peoria stopen hours', 'convenience colorado blvdopen hours']",denver co,Retail Trade
4.64,nan,nan,villa espresso,"['view all', '· $coffee shop · emmett f lowry expy ⋅ opens fri', 'near texas city, tx', '· $$coffee shop · palmer hwyclosed ⋅ opens fri', '· $$coffee shop · gulf fwyclosed ⋅ opens fri']",starbucks,"['gulf fwyclosed ⋅ opens fri', 'palmer hwyclosed ⋅ opens fri', 'gulf fwy ⋅ opens fri', 'near texas city, tx']",texas city tx,Entertainment
87.05,7538.0,automotive service shops (non-dealer),cats only,"['auto repair shop in maricopa county, arizona']",cats only,"['auto repair shop in maricopa county, arizona']",mesa az,Health and Community Services
32.2,5977.0,cosmetic stores,www.aziaco.com,[],www.aziaco.com,[],markham cd,Retail Trade
4.33,5999.0,miscellaneous & specialty stores,hutto taekwondo plus,"['martial arts school in williamson county, texas']",tiger rock martial arts,"['martial arts school in williamson county, texas']",hutto tx,Health and Community Services
14.76,5812.0,restaurants or eating places,orignal pancake house,['american restaurant'],the original pancake house,['breakfast restaurant'],north las veg nv,Entertainment
80.0,nan,nan,eagle gymnastics a,"['gymnastics center in frisco, texas']",eagle gymnastics,"['gymnastics center in frisco, texas']",tx,Health and Community Services
29.52,nan,nan,mr. c's ace hardwa,"['hardware store in hurst, texas']",ace hardware,"['hardware store in hurst, texas']",hurst tx,Retail Trade
226.0,8021.0,dentists or orthodontists,tempe family dentistry,"['dentist in tempe, arizona']",tempe family dentistry,"['dentist in tempe, arizona']",tempe az,Health and Community Services
94.98,4131.0,bus lines including charters tour buses,tufesa,"['bus company in los mochis, mexico', 'view all']",tufesa,"['bus company in los mochis, mexico', 'view all']",ahome sin mx,Travel
10.0,7299.0,misc personal services not elsewhere classified,centre learn solutions,"['view all', 'near pennsylvania', 'computer training schoolbuckingham, patemporarily closed', 'educational consultantclosed ⋅ opens fri', '· learning centerrochester, pa']",new horizons computer learning centers,"['near pennsylvania', 'closed ⋅ opens fri', 'mechanicsburg, paclosed ⋅ opens fri', 'bethlehem, pa']",pa,Retail Trade
195.0,nan,nan,soc of biological,"['university department · gainesville, fl', 'university department · tallahassee, fl', 'near florida', 'university · jacksonville, fl']",soc,[],fl,"Trade, Professional and Personal Services"
21.66,nan,nan,brownies diner,['diner'],brownies diner,['diner'],brawley ca,Entertainment
37.7,5999.0,miscellaneous & specialty stores,bourbonfrenchperfumesu,"['perfume store in new orleans, louisiana']",bourbon french parfums,"['perfume store in new orleans, louisiana']",la,Retail Trade
11.34,5812.0,restaurants or eating places,clem mikeska's bar b q,['barbecue restaurant'],clem mikeskas bbq,['barbecue restaurant'],cameron tx,Entertainment
119.0,5533.0,automotive parts accessories stores,bba remanufacturing in,"['auto parts manufacturer in norton, massachusetts']",bba remanufacturing,"['auto parts manufacturer in norton, massachusetts']",ma,Retail Trade
23313.8,5972.0,stamp and coin stores,test stamp & coin,"['gold dealer in grove city, ohio']",test stamp & coin,"['gold dealer in grove city, ohio']",merchant city ve,Retail Trade
88.12,nan,nan,costco ensenada,['warehouse store'],costco,['warehouse store'],ensenada mx,Services to Transport
181.36,8043.0,opticians,lens fast llc,"['optician in south greeley, wyoming']",lens fast llc,[],wy,Health and Community Services
17.44,nan,nan,bidalot coin aucti,[],bidalot auction and coin dealer,[],mn,Retail Trade
427.0,nan,nan,st croix kidds ped,"['pediatric dentist in hudson, wisconsin']",st. croix kidds pediatric dentistry,"['pediatric dentist in hudson, wisconsin']",hudson wi,Health and Community Services
20.66,nan,nan,lychee cafe,['cantonese restaurant'],lychee cafe,['cantonese restaurant'],san francisco ca,Entertainment
15.7,5814.0,fast food restaurants,happy fortune inc.,['chinese restaurant'],happy fortune,['chinese restaurant'],dover de,Entertainment
50.0,5947.0,card gift novelty or souvenir shops,stone pony merchandise,['live music venue'],the stone,['live music venue'],asbury park nj,"Trade, Professional and Personal Services"
18.69,5814.0,fast food restaurants,taco joint,"['near dallas, tx', 'e mockingbird lnclosed ⋅ opens fri', 'n peak stclosed ⋅ opens fri', 'luther lane, preston center plazaclosed ⋅ opens fri']",taco joint,"['near dallas, tx', 'e mockingbird lnclosed ⋅ opens fri', 'n peak stclosed ⋅ opens fri', 'luther lane, preston center plazaclosed ⋅ opens fri']",dallas tx,Entertainment
202.23,nan,nan,keil heating and a,"['hvac contractor in riverdale, new jersey']",keil heating and air conditioning,"['hvac contractor in riverdale, new jersey']",nj,"Trade, Professional and Personal Services"
6.63,5814.0,fast food restaurants,wendy's no th    q,['fast food restaurant'],wendy's no th    q,['fast food restaurant'],lincoln ne,Entertainment
26.0,nan,nan,big hairy monster,"['hair salon in denver, colorado']",big hairy monster,"['hair salon in denver, colorado']",denver co,"Trade, Professional and Personal Services"
20.0,8011.0,doctors or physicians,david l greenspan m.d.,"['obstetrician-gynecologist in phoenix, arizona']",david greenspan md,"['obstetrician-gynecologist in phoenix, arizona']",phoenix az,Health and Community Services
48.09,nan,nan,thermo king fresno,"['hvac contractor in fresno, california']",thermo king of central california,"['hvac contractor in fresno, california']",fresno ca,"Trade, Professional and Personal Services"
92.4,8011.0,doctors or physicians,thomas p senter md,"['skin care clinic in anchorage, alaska']",senter dermatology,"['dermatologist in anchorage, alaska']",anchorage ak,Health and Community Services
21.04,5812.0,restaurants or eating places,sun lok yuen restauran,['chinese restaurant'],sun lok yuen restaurant,['chinese restaurant'],tooele ut,Entertainment
36.79,5812.0,restaurants or eating places,claudias bake shop,"['bakery · potato rd', 'near winnemucca, nv', '· $bakery · w winnemucca blvdclosed ⋅ opens fri', 'florist · s bridge stclosed ⋅ opens fri']",claudias cake shop,"['bakery · potato rd', 'near winnemucca, nv', '· $ice cream · grass valley rdclosed ⋅ opens fri', '· $bakery · w winnemucca blvdclosed ⋅ opens fri']",winnemucca nv,Retail Trade
33.35,5311.0,department stores,forsgren ltd. inc.,[],forsgren,['supermarket'],pago pago as,Retail Trade
36.49,8011.0,doctors or physicians,corvalis family medici,"['medical clinic in corvallis, oregon']",corvallis family medicine pc,"['medical clinic in corvallis, oregon']",corvalis or,Health and Community Services
15.43,nan,nan,smokey mountain pa,[],smokey mountain produce,"[""farmers' market in fernie, british columbia""]",fernie cd,Retail Trade
8.0,nan,nan,caral peruvian gri,['peruvian restaurant'],caral peruvian grill,['peruvian restaurant'],laverne ca,Entertainment
21.72,7011.0,lodging hotels motels resorts,braemar house,"['hostel in whanganui, new zealand']",braemar house,"['hostel in whanganui, new zealand']",wanganui nz,Travel
10.06,nan,nan,joan's on third,['gourmet grocery store'],joans on third,['gourmet grocery store'],los angeles ca,Retail Trade
7.31,5611.0,men's and/or boys' clothing and accessories stores,pants shack inc,"[""men's clothing store in phoenix, arizona""]",pants shack western wear,"['view all', ""men's clothing store in phoenix, arizona""]",phoenix az,Retail Trade
58.16,5812.0,restaurants or eating places,kelleys restaurant,['restaurant'],kelleys,['restaurant'],wynne ar,Retail Trade
37.43,nan,nan,nike edinburg fs,"['view all', 'sportswear store in bartholomew county, indiana']",nike,"['sportswear store in bartholomew county, indiana']",edinburgh in,Retail Trade
17.36,nan,nan,alamo grocery,['convenience store'],alamo grocery,['convenience store'],fort stockton tx,Retail Trade
38.07,5533.0,automotive parts accessories stores,sparkplug,[],sparkplug,[],ca,Retail Trade
13.99,7542.0,car washes,tarzana car wash,"['car washencino, caopen ⋅ closes fri', 'near tarzana, los angeles', 'car washtarzana, caclosed ⋅ opens fri']",tarzana car wash,"['car washencino, caopen ⋅ closes fri', 'near tarzana, los angeles', 'car washtarzana, caclosed ⋅ opens fri']",tarzana ca,Services to Transport
45.84,nan,nan,rennas meat market,['butcher shop'],rennas meat market,['butcher shop'],fresno ca,Retail Trade
4.01,5411.0,grocery stores or supermarkets,terrys food & drug,['grocery store'],terrys food and drug,['grocery store'],orderville ut,Retail Trade
59.0,8042.0,ophthalmologists or optometrists,jackson eye care,"['urgent care center in fort collins, colorado']",jackson eye care,"['urgent care center in fort collins, colorado']",fort collins co,Health and Community Services
55.11,5941.0,sporting goods stores,dan baileys fly shop,"['outdoor sports store in livingston, montana']",dan baileys fly shop,"['outdoor sports store in livingston, montana']",livingston mt,Retail Trade
63.32,nan,nan,crown rental,['tool rental service'],crown rental,['tool rental service'],burnsville mn,Property and Business Services
78.3,5812.0,restaurants or eating places,crown bistro,['bistro'],crown bistro,['bistro'],coronado ca,Entertainment
127.45,5621.0,women's ready-to-wear stores,limited additions,"['view all', ""women's clothing store in catalina foothills, arizona""]",limited additions,"['view all', ""women's clothing store in catalina foothills, arizona""]",tucson az,Retail Trade
5.0,nan,nan,la' cabana,['restaurant'],la cabana,['restaurant'],kermit tx,Entertainment
275.0,7372.0,computer programming systems design or data processing serv,printed copies,"['near hampton, ga', 'digital printing service', 'mailing bear creek blvdclosed ⋅ opens fri', 'shipping and mailing tara blvd ste ⋅ opens fri']",printed copies,"['near hampton, ga', 'digital printing service', 'mailing bear creek blvdclosed ⋅ opens fri', 'shipping and mailing tara blvd ste ⋅ opens fri']",hampton ga,"Trade, Professional and Personal Services"
51.98,5542.0,automated fuel dispensers,cdn tire gasbar #,['view all'],m supper club,"['view all', 'western restaurant in london, england']",london cd,Entertainment
211.14,5099.0,durable goods (nec),cool sunglasses sibari,"['optometrist in mexico city, mexico']",cool sunglasses,['view all'],lerma em mx,Retail Trade
93.13,5651.0,family clothing stores,x press boutique,"['view all', 'cell phone store in nogales, mexico']",bianco puro,"['bridal shop in nogales, arizona']",nogales az,Retail Trade
10.0,8398.0,charitable or social services organizations,kin*common cause,[],common cause,['twitter • days ago'],ca,Health and Community Services
2.17,7394.0,equip tool furniture appliance lease/rental,american ski exchange,"['ski rental service in vail, colorado']",american ski exchange,"['ski rental service in vail, colorado']",vail co,Retail Trade
111.0,8043.0,opticians,aztec optical,"['optician in chandler, arizona']",aztec optical,"['optician in chandler, arizona']",chandler az,Health and Community Services
8.41,7210.0,cleaning laundry and garment services,towngate cleaners,"['· dry northwest hwyclosed ⋅ opens fri', 'near towngate, garland, tx', '· dry w centerville rdclosed ⋅ opens fri']",towngate cleaners,"['· dry northwest hwyclosed ⋅ opens fri', 'near towngate, garland, tx', '· dry w centerville rdclosed ⋅ opens fri']",garland tx,"Trade, Professional and Personal Services"
51.83,nan,nan,chili's tarrant pk,['tex-mex restaurant'],chilis grill and bar,['tex-mex restaurant'],north richlan tx,Entertainment
15.0,8011.0,doctors or physicians,hyadoc consultants inc,"['doctor in gilbert, arizona']",hyadoc medical consultants,"['doctor in gilbert, arizona']",gilbert az,Health and Community Services
18.0,nan,nan,maverickbranchlibr,"['public library in san antonio, texas']",maverick library,"['view all', 'public library in san antonio, texas']",san antonio tx,Entertainment
8.0,nan,nan,j a s inc,"['roofing contractor · vienna, va', 'accountant · mclean, va', 'near falls church, va', 'construction companyclosed ⋅ opens fri']",jen and jas,"['view all', 'internist in falls church, virginia']",falls church va,"Trade, Professional and Personal Services"
23.94,5812.0,restaurants or eating places,lion on the beach,"['club in toronto, ontario', 'view all']",lion,"['view all', 'meditation center · pape aveopen hours', 'near toronto, on, canada', 'advertising agency · queen st e suite ⋅ opens fri', 'martial arts club · scarborough, on, canada']",toronto cd,Retail Trade
39.86,5812.0,restaurants or eating places,toscano restaurantes,"['view all', 'italian restaurant']",toscano restaurant,"['view all', 'italian restaurant']",nogales son mx,Entertainment
24.0,4814.0,telecommuncations serv incl loca/long dist credit & fax,baylink voicemail serv,"['telecommunications service provider in san francisco, california']",baylink voicemail services,"['telecommunications service provider in san francisco, california']",ca,Communication Services
36.32,nan,nan,beijing gourmet,['chinese restaurant'],beijing gourmet,['chinese restaurant'],manassas va,Entertainment
9.73,5921.0,liquor wine package or beer stores,high five liquor,['liquor store'],high 5 liquor,['liquor store'],broomfield co,Retail Trade
10.87,5722.0,appliance stores (nec) or household appliance stores,connies quilters hide,"['quilt shop in kingman, arizona']",connies quilters hide a way,"['quilt shop in kingman, arizona']",kingman az,Retail Trade
29.89,5511.0,auto/truck dealers new/used sale repair parts & lease,bob turner ford servic,"['used car dealer in albuquerque, new mexico']",power ford,"['ford dealer in albuquerque, new mexico']",albuquerque nm,Retail Trade
148.34,8299.0,schools and educational services (nec),safmt,"['foundation in helena, montana']",student assistance foundation,"['foundation in helena, montana']",mt,Education
105.0,7230.0,barber or beauty shops,suzanne caliger hair s,"['view all', '· hair n st bclosed ⋅ opens fri', ""near coeur d'alene, id"", '· cosmetics w wilbur avecloses soon ⋅', '· hair n st suite ⋅ opens mon']",suzanne caliger,['view all'],coeur d alene id,"Trade, Professional and Personal Services"
13.73,5542.0,automated fuel dispensers,husky travel ctr,"['view all', 'gas station in radium hot springs, british columbia']",husky travel,['view all'],radium cd,Retail Trade
117.79,5812.0,restaurants or eating places,pittsburgh blue maple,['steak house'],pittsburgh blue steakhouse,['steak house'],maple grove mn,Entertainment
187.5,7999.0,amusement/recreational services not elsewhere classified,reefdancer & america i,"['tourist attraction in lahaina, hawaii']",reef dancer,"['tourist attraction in lahaina, hawaii']",lahaina hi,Entertainment
32.28,4900.0,electric gas sanitary telephone or water utilities,cubs,"['aircraft dealer in san luis obispo county, california']",cubs,"['scouting · wakeman, oh', 'non-profit organization · columbus, ohclosed ⋅ opens fri', 'near columbus oh, oh', 'aircraft dealer · arroyo grande, caopen hours']",ca,Retail Trade
3.75,5812.0,restaurants or eating places,culto,"['chocolate cafe in venice, italy']",culto,['chocolate cafe'],tessera it,Entertainment
6.75,5812.0,restaurants or eating places,moody club z,"['· $american restaurant · valdosta, gaclosed ⋅ opens fri', 'near moody afb, ga', 'golf driving range · prewitte stclosed ⋅ opens fri', 'air force base · bemiss rdclosed ⋅ opens fri']",moody field club,['american restaurant'],moody afb ga,Entertainment
65.37,5631.0,women's accessory and specialty shops,patty graves designs,['view all'],patty graves,['view all'],scottsdale az,Retail Trade
57.76,5999.0,miscellaneous & specialty stores,hanesbrands,"['clothing store in dawson county, georgia']",hanesbrands,"['clothing store in dawson county, georgia']",dawsonville ga,Retail Trade
4.89,nan,nan,us service biz,"['commercial cleaning service · orlando, flopen hours', 'tax preparation service · lake mary, flclosed ⋅ opens fri', 'security guard service · orlando, flclosed ⋅ opens fri', 'near florida']",us service,[],fl,Retail Trade
44.81,5499.0,misc food stores - specialty markets & convenience,bierkraft,['beer store'],bierkraft,['beer store'],ny,Retail Trade
28.0,4111.0,local/sub commuter psgr trnp incl ferries or water trnp,njt hazlet,[],njt hazlet,[],newark nj,Travel
17.12,nan,nan,fence post supper,['steak house'],fence post supper club and catering,['steak house'],ks,Entertainment
71.5,5942.0,book stores,royalfirewo,[],royalfirewo,[],ny,Retail Trade
119.94,nan,nan,hhl*retail   nutri,"['department store', 'view all']",hhl,"['hhl(tse)', 'bank']",ca,"Trade, Professional and Personal Services"
21.29,5812.0,restaurants or eating places,joe's ny style pizze,['pizza restaurant'],cristos ny style pizza,['italian restaurant'],nc,Entertainment
35.1,5992.0,florists,tlf*coleman florist in,"['florist in onondaga county, new york']",coleman florist,"['florist in onondaga county, new york']",syracuse ny,Retail Trade
45.0,8299.0,schools and educational services (nec),burley&assoc,"['financial planner in peoria, arizona']",burley and associates,"['financial planner in peoria, arizona']",az,Finance
14.05,5812.0,restaurants or eating places,oj's midtown restauran,['american restaurant'],ojs midtown restaurant,['american restaurant'],gillett wi,Entertainment
49.05,5411.0,grocery stores or supermarkets,buehlers brunswick,['grocery store'],buehlers fresh foods brunswick,['grocery store'],burnswick oh,Retail Trade
44.85,7372.0,computer programming systems design or data processing serv,pli*wssoftware,[],pli*wssoftware,[],"plimus,inc cy","Trade, Professional and Personal Services"
43.96,8999.0,professional services (nec),mmarketing,"['near santa clara county, ca', '· marketing agencyopen hours', '· internet marketing servicesanta clara, caclosed ⋅ opens fri', '· marketing agencysan jose, caclosed ⋅ opens fri']",mmarketing,"['near santa clara county, ca', '· marketing agencyopen hours', '· internet marketing servicesanta clara, caclosed ⋅ opens fri', '· marketing agencysan jose, caclosed ⋅ opens fri']",la,"Trade, Professional and Personal Services"
21.45,5812.0,restaurants or eating places,jacks family restauran,['chicken restaurant'],jacks,['chicken restaurant'],dickinson nd,Entertainment
8.68,2741.0,miscellaneous publishing and printing,feedbooks,[],feedbooks,[],garches fr,Entertainment
10.21,5814.0,fast food restaurants,new tewada,[],new tewada,[],bellevue wa,Entertainment
130.0,nan,nan,one sotheby's inte,[],one sothebys international realty,"['real estate agencyboca raton, flclosed ⋅ opens fri', 'real estate agencyweston, flclosed ⋅ opens fri', 'near florida', 'real estate agencymiami beach, flclosed ⋅ opens fri']",fl,"Trade, Professional and Personal Services"
46.5,5542.0,automated fuel dispensers,u save citgo,"['gas station in glendale heights, illinois']",u save citgo,"['gas station in glendale heights, illinois']",bloomingdale il,Services to Transport
22.41,8011.0,doctors or physicians,precision muscle recov,"['massage in tempe, arizona']",precision muscle recovery,"['massage in tempe, arizona']",mesa az,"Trade, Professional and Personal Services"
491.5,nan,nan,vca southpaws vse,"['view all', 'veterinarian in merrifield, virginia']",vca southpaws veterinary specialists and emergency center,"['veterinarian in merrifield, virginia']",fairfax va,Health and Community Services
156.6,5999.0,miscellaneous & specialty stores,the shaggy ram ii inc,"['antique store in edwards, colorado']",shaggy ram,"['antique store in edwards, colorado']",edwards co,Retail Trade
75.48,nan,nan,ciao mediterranean,['restaurant'],ciao medspa,"['view all', 'medical spa in celina, ohio']",carolina pr,"Trade, Professional and Personal Services"
21.0,7230.0,barber or beauty shops,shawna parker,[],shawna parker,[],loveland co,"Trade, Professional and Personal Services"
4.33,5732.0,electronic sales,bose seatac b,"['electronics store in seatac, washington']",bose showcase,"['home audio store in seattle, washington']",seattle wa,Retail Trade
120.0,nan,nan,capt. andersons ma,"['view all', 'restaurant']",capt. andersons marina,"['marina in the upper grand lagoon, florida']",fl,Entertainment
19.95,5967.0,inbound teleservices merchant,www.vtsup.com,[],amsterdam nails,"['· nail salonjan van galenstraat ⋅ opens mon', 'near amsterdam, netherlands', '· nail salonnieuwezijds voorburgwal ⋅ opens', '· nail saloneuropaplein ⋅ opens']",amsterdam nl,"Trade, Professional and Personal Services"
20.53,5931.0,secondhand or used merchandise stores,fabulous finds,"['consignment shop in longmont, colorado']",fabulous finds,"['consignment shop in longmont, colorado']",longmont co,Retail Trade
